Category;Term;Shortcut
Form / Arrangement / Function;repeating phrase;rphr
Form / Arrangement / Function;repeats;rpts
Form / Arrangement / Function;repetitive phrase;rptph
Form / Arrangement / Function;reprise;rprz
Form / Arrangement / Function;reprised;rprsd
Form / Arrangement / Function;reprises;rprss
Form / Arrangement / Function;return;rtrn
Form / Arrangement / Function;returns;rtrns
Form / Arrangement / Function;Reverse;rvs
Form / Arrangement / Function;reversed;rvsd
Form / Arrangement / Function;section;sctn
Form / Arrangement / Function;sections;sctns
Form / Arrangement / Function;solo;solo
Form / Arrangement / Function;solos;solos
Form / Arrangement / Function;string section;strss
Form / Arrangement / Function;tabla solo;tablso
Form / Arrangement / Function;thematic development;thde
Form / Arrangement / Function;transition;trns
Form / Arrangement / Function;transitioning;trnsg
Form / Arrangement / Function;transitioning to;trnst
Form / Arrangement / Function;transitions;trnss
Form / Arrangement / Function;turnaround;trnrnd
Form / Arrangement / Function;turnarounds;trnrnds
Form / Arrangement / Function;up;up
Form / Arrangement / Function;variation;vrtn
Form / Arrangement / Function;variations;vrtns
Form / Arrangement / Function;verse;vrs
Form / Arrangement / Function;verse hook;vrsh
Form / Arrangement / Function;verse melody;Vrsm
Form / Arrangement / Function;verses;vrss
Genre / Style;ballad;blld
Genre / Style;balladic;blldc
Genre / Style;blues;bls
Genre / Style;blues feel;blf
Genre / Style;blues harp;blh
Genre / Style;blues lick;bll
Genre / Style;blues note;blsnt
Genre / Style;blues run;blru
Genre / Style;blues scale;blsc
Genre / Style;blues shuffle;blsh
Genre / Style;bossa nova;bono
Genre / Style;bossa nova feel;bonof
Genre / Style;bossa nova groove;bonog
Genre / Style;bossa nova guitar;bonogtr
Genre / Style;bossa nova rhythm;bonortm
Genre / Style;cinema;cnm
Genre / Style;contrapuntal;cntrpl
Genre / Style;contrapuntally;cntrp+ly
Genre / Style;disco;dsc
Genre / Style;disco beat;dibe
Genre / Style;drill;drll
Genre / Style;drill beat;drlbt
Genre / Style;drill pattern;drlpt
Genre / Style;drum 'n bass;dnb
Genre / Style;dub;dub
Genre / Style;dub delay;dubde
Genre / Style;dub mix;dubmi
Genre / Style;dub reverb;dubre
Genre / Style;dub version;dubve
Genre / Style;dubbed;dubd
Genre / Style;dubbing;dubg
Genre / Style;EDM Drums;Edr
Genre / Style;electronic;elctr
Genre / Style;electronic music;elmu
Genre / Style;flamenco;flamc
Genre / Style;flamenco guitar;flamg
Genre / Style;flamenco rhythm;flamrtm
Genre / Style;flamenco style;flamst
Genre / Style;flamenco technique;flamtec
Genre / Style;funk;fnk
Genre / Style;funky;fnky
Genre / Style;grime;grm
Genre / Style;grime beat;grbe
Genre / Style;grime production;grpr
Genre / Style;House drums;Hdr
Genre / Style;hyperpop;hyprp
Genre / Style;hyperpop production;Hyprpr
Genre / Style;jazz;jzz
Genre / Style;jazz shuffle;jsh
Genre / Style;lo-fi;lofi
Genre / Style;lo-fi aesthetic;lofae
Genre / Style;lo-fi effect;lofe
Genre / Style;lo-fi production;lofpr
Genre / Style;lo-fi sound;lofso
Genre / Style;lofi hip hop;lofhh
Genre / Style;new wave;nww
Genre / Style;new wave sound;nws
Genre / Style;overdub;ovdb
Genre / Style;overdubbed;ovdbd
Genre / Style;overdubbing;ovdbg
Genre / Style;overdubs;ovdbs
Genre / Style;pop;pop
Genre / Style;pop hook;pophk
Genre / Style;pop melody;popmld
Genre / Style;post-punk;Pstpnk
Genre / Style;punk;punk
Genre / Style;punk rock;pnkrk
Genre / Style;rap;rp
Genre / Style;rapped;rapd
Genre / Style;reggae;rgg
Genre / Style;reggae rhythm;rgrtm
Genre / Style;samba;smb
Genre / Style;samba beat;smbbt
Genre / Style;samba groove;smbgr
Genre / Style;samba percussion;smbprc
Genre / Style;samba rhythm;smbrtm
Genre / Style;ska;ska
Genre / Style;ska beat;skabt
Genre / Style;ska feel;skafl
Genre / Style;ska rhythm;skartm
Genre / Style;soul;soul
Genre / Style;soulful;slfl
Genre / Style;soulfully;slfly
Genre / Style;Trap drums;trpdr
Harmony / Melody / Tonality;accompaniment;accmp
Harmony / Melody / Tonality;accompany;accmpy
Harmony / Melody / Tonality;accompanying harmonies;acchs
Harmony / Melody / Tonality;accompanying harmony;acch
Harmony / Melody / Tonality;artificial harmonic;arha
Harmony / Melody / Tonality;ascending sequence;asse
Harmony / Melody / Tonality;Augment;Agent
Harmony / Melody / Tonality;augment;agmnt
Harmony / Melody / Tonality;augmentation;agmntn
Harmony / Melody / Tonality;augmented;agmntd
Harmony / Melody / Tonality;augmented chord;agmch
Harmony / Melody / Tonality;augmented fifth;agm5
Harmony / Melody / Tonality;augmented triad;agmtr
Harmony / Melody / Tonality;augmenting;agmntg
Harmony / Melody / Tonality;blue note;blno
Harmony / Melody / Tonality;cadence;cdnc
Harmony / Melody / Tonality;cadences;cdncs
Harmony / Melody / Tonality;canonic;cnnc
Harmony / Melody / Tonality;canonically;cnn+ly
Harmony / Melody / Tonality;chord;crd
Harmony / Melody / Tonality;chord progression;crdp
Harmony / Melody / Tonality;chords;crds
Harmony / Melody / Tonality;chromatic line;chrml
Harmony / Melody / Tonality;chromatic run;chrmr
Harmony / Melody / Tonality;consonance;cnsnce
Harmony / Melody / Tonality;consonant;cnsnt
Harmony / Melody / Tonality;contrary;cntrr
Harmony / Melody / Tonality;contrary motion;cntrrm
Harmony / Melody / Tonality;counter;cntr
Harmony / Melody / Tonality;countermelody;cntm
Harmony / Melody / Tonality;counterpoint;cntrp
Harmony / Melody / Tonality;descending sequence;Descseq
Harmony / Melody / Tonality;diatonic;dtnc
Harmony / Melody / Tonality;diatonically;dtncly
Harmony / Melody / Tonality;diminished;dmnshd
Harmony / Melody / Tonality;diminished chord;dmshc
Harmony / Melody / Tonality;diminished scale;dmnsc
Harmony / Melody / Tonality;dissonance;dsnc
Harmony / Melody / Tonality;dissonant;dsnt
Harmony / Melody / Tonality;dominant;dmnt
Harmony / Melody / Tonality;dominant chord;Dmntc
Harmony / Melody / Tonality;dominant resolution;dmntres
Harmony / Melody / Tonality;dominant seventh;dmnt7
Harmony / Melody / Tonality;dominantly;dmntly
Harmony / Melody / Tonality;female harmonies;fhmns
Harmony / Melody / Tonality;female harmony;fhmn
Harmony / Melody / Tonality;female vocal accompaniment;fvac
Harmony / Melody / Tonality;female vocal harmonies;fvhs
Harmony / Melody / Tonality;female vocal harmony;fvhmn
Harmony / Melody / Tonality;filter-modulated;fltmd
Harmony / Melody / Tonality;free counterpoint;frco
Harmony / Melody / Tonality;free imitation;frim
Harmony / Melody / Tonality;fully diminished;fldmnd
Harmony / Melody / Tonality;grace note;grcn
Harmony / Melody / Tonality;grace notes;grns
Harmony / Melody / Tonality;half-diminished;hfdmnd
Harmony / Melody / Tonality;harmonic;hmnc
Harmony / Melody / Tonality;harmonic sequence;hmncsq
Harmony / Melody / Tonality;harmonic series;hmnsr
Harmony / Melody / Tonality;harmonica;hmnca
Harmony / Melody / Tonality;harmonica bend;Hmncabnd
Harmony / Melody / Tonality;harmonicas;hmncas
Harmony / Melody / Tonality;harmonics;hmncs
Harmony / Melody / Tonality;harmonies;hmns
Harmony / Melody / Tonality;harmonise;hmnz
Harmony / Melody / Tonality;harmony;hmn
Harmony / Melody / Tonality;held note;hldnt
Harmony / Melody / Tonality;Horn melodies;hrnmlds
Harmony / Melody / Tonality;horn melody;hrnmld
Harmony / Melody / Tonality;imitate;imtt
Harmony / Melody / Tonality;imitated;imttd
Harmony / Melody / Tonality;imitating;imttg
Harmony / Melody / Tonality;imitation;imttn
Harmony / Melody / Tonality;interval;intv
Harmony / Melody / Tonality;intervals;intvs
Harmony / Melody / Tonality;inversion;invrs
Harmony / Melody / Tonality;inversions;invrss
Harmony / Melody / Tonality;inverted;invrd
Harmony / Melody / Tonality;IV chord;ivch
Harmony / Melody / Tonality;key;ky
Harmony / Melody / Tonality;key change;kych
Harmony / Melody / Tonality;key changes;kychs
Harmony / Melody / Tonality;keys;kys
Harmony / Melody / Tonality;LFO modulation;lfomo
Harmony / Melody / Tonality;lick;lck
Harmony / Melody / Tonality;licks;lcks
Harmony / Melody / Tonality;main theme;mnthm
Harmony / Melody / Tonality;major;mjr
Harmony / Melody / Tonality;major chord;mjc
Harmony / Melody / Tonality;major key;mjk
Harmony / Melody / Tonality;major pentatonic;mjpen
Harmony / Melody / Tonality;major scale;mjsc
Harmony / Melody / Tonality;male vocal accompaniment;Mva
Harmony / Melody / Tonality;male vocal harmonies;mvhs
Harmony / Melody / Tonality;melodic;mldc
Harmony / Melody / Tonality;melodic sequence;mldsq
Harmony / Melody / Tonality;melodic variation;mldvar
Harmony / Melody / Tonality;melodically;mldcly
Harmony / Melody / Tonality;melodies;mlds
Harmony / Melody / Tonality;melody;mld
Harmony / Melody / Tonality;minor;mnr
Harmony / Melody / Tonality;minor chord;mnch
Harmony / Melody / Tonality;minor key;mnk
Harmony / Melody / Tonality;minor pentatonic;mnpen
Harmony / Melody / Tonality;minor scale;mnsc
Harmony / Melody / Tonality;modal;modl
Harmony / Melody / Tonality;modally;modly
Harmony / Melody / Tonality;mode;mode
Harmony / Melody / Tonality;modes;modes
Harmony / Melody / Tonality;modulate;mdlt
Harmony / Melody / Tonality;modulated;mdltd
Harmony / Melody / Tonality;modulating;Mdltg
Harmony / Melody / Tonality;modulation;mdltn
Harmony / Melody / Tonality;motif;mtf
Harmony / Melody / Tonality;motifs;mtfs
Harmony / Melody / Tonality;oblique motion;oblm
Harmony / Melody / Tonality;oboe melody;obom
Harmony / Melody / Tonality;octave;octv
Harmony / Melody / Tonality;octaves;octvs
Harmony / Melody / Tonality;parallel;prll
Harmony / Melody / Tonality;parallel harmonies;phmns
Harmony / Melody / Tonality;parallel harmony;Phmn
Harmony / Melody / Tonality;parallel motion;pmot
Harmony / Melody / Tonality;pedal;pdl
Harmony / Melody / Tonality;pedal drone;pdldr
Harmony / Melody / Tonality;pedal note;pdln
Harmony / Melody / Tonality;pedal point;pdlp
Harmony / Melody / Tonality;pedal tone;pdlt
Harmony / Melody / Tonality;Pentatlonic line;pntali
Harmony / Melody / Tonality;pentatonic;pnta
Harmony / Melody / Tonality;pentatonic lick;pntalk
Harmony / Melody / Tonality;pentatonic run;pntar
Harmony / Melody / Tonality;pentatonic scale;pesc
Harmony / Melody / Tonality;piano plays chords;pnplc
Harmony / Melody / Tonality;Piano plays melody;pnplm
Harmony / Melody / Tonality;pitch;ptch
Harmony / Melody / Tonality;pitch-modulated;ptmod
Harmony / Melody / Tonality;pitched;ptcd
Harmony / Melody / Tonality;playful melody;plflm
Harmony / Melody / Tonality;progression;prgn
Harmony / Melody / Tonality;progressions;prgrs
Harmony / Melody / Tonality;resolution;rsltn
Harmony / Melody / Tonality;resolutions;rsltns
Harmony / Melody / Tonality;resolve;rslv
Harmony / Melody / Tonality;resolved;rslvd
Harmony / Melody / Tonality;resolves;rslvs
Harmony / Melody / Tonality;resolving;rslvg
Harmony / Melody / Tonality;Rhodes chords;rhdscr
Harmony / Melody / Tonality;riff;rff
Harmony / Melody / Tonality;riffs;rffs
Harmony / Melody / Tonality;root;rt
Harmony / Melody / Tonality;root note;rtnt
Harmony / Melody / Tonality;root position;rtpos
Harmony / Melody / Tonality;run;run
Harmony / Melody / Tonality;runs;runs
Harmony / Melody / Tonality;secondary dominant;secdom
Harmony / Melody / Tonality;sequence;sq
Harmony / Melody / Tonality;sequenced;sqd
Harmony / Melody / Tonality;sequences;sqs
Harmony / Melody / Tonality;string harmonic;stRha
Harmony / Melody / Tonality;subdominant;sbdm
Harmony / Melody / Tonality;subdominant chord;sbdmcr
Harmony / Melody / Tonality;subdominant function;sbdmf
Harmony / Melody / Tonality;synth keys;syk
Harmony / Melody / Tonality;thematic;thmc
Harmony / Melody / Tonality;thematically;thmcly
Harmony / Melody / Tonality;theme;thm
Harmony / Melody / Tonality;theme and variations;thmvar
Harmony / Melody / Tonality;themes;thms
Harmony / Melody / Tonality;transpose;trnsp
Harmony / Melody / Tonality;transposed;trnspd
Harmony / Melody / Tonality;transposition;trnspn
Harmony / Melody / Tonality;tritone;trtn
Harmony / Melody / Tonality;tritone interval;trtnint
Harmony / Melody / Tonality;tritone resolution;trtnres
Harmony / Melody / Tonality;tritone substitution;trtnsub
Harmony / Melody / Tonality;tritones;Trans
Harmony / Melody / Tonality;two-voice counterpoint;2vcnt
Harmony / Melody / Tonality;unison;uns
Harmony / Melody / Tonality;unison harmonies;unshms
Harmony / Melody / Tonality;unison harmony;unshm
Harmony / Melody / Tonality;vocal harmonies;vhms
Harmony / Melody / Tonality;vocal harmony;vhm
Harmony / Melody / Tonality;vocal melody;vmel
Harmony / Melody / Tonality;voice leading;vcld
Instruments / Voices;808;808
Instruments / Voices;808 bass;8b
Instruments / Voices;808 kick;8k
Instruments / Voices;a cappella;acap
Instruments / Voices;accapella;acap2
Instruments / Voices;accordion;accrd
Instruments / Voices;accordion line;accl
Instruments / Voices;accordionist;accrdnst
Instruments / Voices;accordions;accrds
Instruments / Voices;acoustic guitar;gac
Instruments / Voices;acoustic guitar picks;agpk
Instruments / Voices;acoustic guitar plucks;agpl
Instruments / Voices;acoustic guitar strumming;agstg
Instruments / Voices;acoustic guitar strums;agsts
Instruments / Voices;acoustic guitars;gacs
Instruments / Voices;Alto sax;asx
Instruments / Voices;alto voice;altv
Instruments / Voices;arpeggiated bass synth;arpbs
Instruments / Voices;arpeggiated synth;arpsy
Instruments / Voices;backing singers;bks
Instruments / Voices;Backing vocalist;bkvclst
Instruments / Voices;backing vocals;bkv
Instruments / Voices;bandoneon;bndnn
Instruments / Voices;banjo;bnj
Instruments / Voices;banjos;bnjs
Instruments / Voices;baritone;brtn
Instruments / Voices;baritone range;brtnra
Instruments / Voices;baritone register;brtnr
Instruments / Voices;baritone voice;brtnv
Instruments / Voices;baritones;brtns
Instruments / Voices;bass;bs
Instruments / Voices;bass guitar;gb
Instruments / Voices;bassline;bssl
Instruments / Voices;basslines;bssls
Instruments / Voices;bassoon;bssn
Instruments / Voices;bassoon line;bssnl
Instruments / Voices;bassoonist;bssnst
Instruments / Voices;bassoons;bssns
Instruments / Voices;bongo;bng
Instruments / Voices;bongos;bngs
Instruments / Voices;brass;brs
Instruments / Voices;cajon;cjn
Instruments / Voices;cajon beat;cjbe
Instruments / Voices;cajon groove;cjgr
Instruments / Voices;cajon pattern;cjp
Instruments / Voices;cajons;cjns
Instruments / Voices;cello;cll
Instruments / Voices;cellos;cllo
Instruments / Voices;choir;chr
Instruments / Voices;clap;clp
Instruments / Voices;clap fill;clfi
Instruments / Voices;claps;cls
Instruments / Voices;clarinet;clrnt
Instruments / Voices;clarinetist;clrntst
Instruments / Voices;clarinets;clrnts
Instruments / Voices;clean electric guitar;gelc
Instruments / Voices;conga;cng
Instruments / Voices;congas;cngs
Instruments / Voices;creaky voice;crev
Instruments / Voices;distorted electric guitar;geld
Instruments / Voices;djembe;Djmb
Instruments / Voices;djembe pattern;djmp
Instruments / Voices;djembes;djms
Instruments / Voices;doubled vocals;dblv
Instruments / Voices;drone bass;drnbs
Instruments / Voices;drum;drm
Instruments / Voices;Drum beat;drmb
Instruments / Voices;drum bus;drbus
Instruments / Voices;drum fill;drf
Instruments / Voices;drum kit;drkt
Instruments / Voices;drum machine;drmmc
Instruments / Voices;drum machines;drmmcs
Instruments / Voices;drum-machine beat;drmmbt
Instruments / Voices;drums;Drms
Instruments / Voices;electric guitar;Eg
Instruments / Voices;electric guitar picks;egpk
Instruments / Voices;electric guitar plucks;egpl
Instruments / Voices;electric guitar strumming;egstg
Instruments / Voices;electric guitar strums;egsts
Instruments / Voices;electric guitars;egs
Instruments / Voices;electric piano;ep
Instruments / Voices;electric piano playing;eppg
Instruments / Voices;electric piano plays;eppl
Instruments / Voices;female;fml
Instruments / Voices;female rapper;frpr
Instruments / Voices;female vocal;fvc
Instruments / Voices;female vocal lead;fvl
Instruments / Voices;female vocalist;fvcls
Instruments / Voices;female vocals;fvcs
Instruments / Voices;flute;flu
Instruments / Voices;flutes;flus
Instruments / Voices;French horn;Frhn
Instruments / Voices;French horns;frhns
Instruments / Voices;glockenspiel;glckn
Instruments / Voices;glockenspiels;glckns
Instruments / Voices;guitar;gt
Instruments / Voices;guitars;gts
Instruments / Voices;hand drums;hnddr
Instruments / Voices;hand percussion;hndprc
Instruments / Voices;harp;hrp
Instruments / Voices;harp arpeggio;hrparp
Instruments / Voices;harpist;hrpst
Instruments / Voices;harps;hrps
Instruments / Voices;high alto;halto
Instruments / Voices;high tenor;hiten
Instruments / Voices;hihat;hh
Instruments / Voices;hihats;hhs
Instruments / Voices;horn;hrn
Instruments / Voices;horn line;hrnl
Instruments / Voices;horns;hrns
Instruments / Voices;kick;kk
Instruments / Voices;kicks;kks
Instruments / Voices;lead vocal;lvc
Instruments / Voices;lead vocals;lvcs
Instruments / Voices;Live drums;Ldr
Instruments / Voices;live drums;lvdr
Instruments / Voices;male;ml
Instruments / Voices;male rapper;mrpr
Instruments / Voices;male vocal;mvc
Instruments / Voices;male vocal lead;mvl
Instruments / Voices;male vocalist;mvlst
Instruments / Voices;male vocals;mvcs
Instruments / Voices;mandolin;mndln
Instruments / Voices;mandolin line;manl
Instruments / Voices;mandolin tremolo;matr
Instruments / Voices;mandolinist;mndlnst
Instruments / Voices;mandolins;mndlns
Instruments / Voices;marimba;mrmb
Instruments / Voices;marimbas;mrmbs
Instruments / Voices;mellotron;mlltr
Instruments / Voices;mellotrons;mlltrs
Instruments / Voices;mezzo-soprano;mzzsp
Instruments / Voices;mezzo-sopranos;mzzs
Instruments / Voices;mixed vocal harmonies;mxvh
Instruments / Voices;monosynth;mnsy
Instruments / Voices;muted guitar;mtdg
Instruments / Voices;oboe;oboe
Instruments / Voices;oboe line;obol
Instruments / Voices;oboes;oboes
Instruments / Voices;oboist;obst
Instruments / Voices;open hihat;ohh
Instruments / Voices;organ;orgn
Instruments / Voices;organic;orgnc
Instruments / Voices;organically;orgncly
Instruments / Voices;organs;orgns
Instruments / Voices;percussion;prc
Instruments / Voices;Pianist;pnst
Instruments / Voices;piano;pno
Instruments / Voices;Piano comps;pncmp
Instruments / Voices;piano playing;pnplg
Instruments / Voices;Piano plays;Pnpl
Instruments / Voices;pianos;pns
Instruments / Voices;piccolo;pccl
Instruments / Voices;piccolo flute;pifl
Instruments / Voices;piccolo line;picl
Instruments / Voices;piccolos;pccls
Instruments / Voices;plucked synth;plks
Instruments / Voices;processed drums;prdr
Instruments / Voices;Programmed drums;Pdr
Instruments / Voices;rapper;rpr
Instruments / Voices;rappers;rprs
Instruments / Voices;Rhodes;rhds
Instruments / Voices;Rhodes piano;rhdsp
Instruments / Voices;Rolling bass;rlbs
Instruments / Voices;rolling hihats;rlht
Instruments / Voices;rolling snare;rlsn
Instruments / Voices;scat singing;scatsg
Instruments / Voices;scat vocal;scatvc
Instruments / Voices;shaker;shk
Instruments / Voices;shakers;shks
Instruments / Voices;Singer;sngr
Instruments / Voices;singer vocalises;sgvc
Instruments / Voices;singer vocalising;sgvg
Instruments / Voices;singers;sgrs
Instruments / Voices;Singing;sgg
Instruments / Voices;sitar;sitr
Instruments / Voices;sitar drone;sitrdr
Instruments / Voices;sitar line;sitl
Instruments / Voices;sitar riff;sitri
Instruments / Voices;sitars;sitrs
Instruments / Voices;slap bass;slpbs
Instruments / Voices;sliding 808;sl8
Instruments / Voices;snare;sn
Instruments / Voices;snares;sns
Instruments / Voices;soloist;slst
Instruments / Voices;soprano;sprn
Instruments / Voices;sopranos;sprns
Instruments / Voices;string;strngg
Instruments / Voices;strings;strs
Instruments / Voices;synth;syt
Instruments / Voices;synth bass;syb
Instruments / Voices;synth brass;sybr
Instruments / Voices;synth chime;sych
Instruments / Voices;synth lead;syld
Instruments / Voices;Synth leads;sylds
Instruments / Voices;synth line;syln
Instruments / Voices;synth pad;syp
Instruments / Voices;synth pads;syps
Instruments / Voices;synth strings;syst
Instruments / Voices;Synth wash;sywsh
Instruments / Voices;synth-driven;Sydrvn
Instruments / Voices;synthetic;syntc
Instruments / Voices;synthetically;syntcly
Instruments / Voices;tabla;tabl
Instruments / Voices;tabla beat;tablb
Instruments / Voices;tabla pattern;tablpt
Instruments / Voices;tablas;tabls
Instruments / Voices;tambourine;tmb
Instruments / Voices;tambourines;tmbs
Instruments / Voices;tenor;tenr
Instruments / Voices;tenor sax;tsx
Instruments / Voices;trombone;trmb
Instruments / Voices;trombones;trmbs
Instruments / Voices;trombonist;trmbst
Instruments / Voices;trumpet;trmp
Instruments / Voices;trumpets;trmps
Instruments / Voices;tuba;tuba
Instruments / Voices;tubas;tubas
Instruments / Voices;ukulele;ukll
Instruments / Voices;ukuleles;uklls
Instruments / Voices;unison-voiced;Unsvc
Instruments / Voices;upper tenor;upte
Instruments / Voices;vibraphone;vib
Instruments / Voices;vibraphones;vibs
Instruments / Voices;violin;vln
Instruments / Voices;violins;vlns
Instruments / Voices;vocal;vc
Instruments / Voices;vocal fry;vcfry
Instruments / Voices;vocal run;vrun
Instruments / Voices;vocal runs;vruns
Instruments / Voices;vocal sample;vsmp
Instruments / Voices;vocal samples;vsmps
Instruments / Voices;vocalisation;vczn
Instruments / Voices;vocalise;Vcz
Instruments / Voices;vocalised;vclsd
Instruments / Voices;vocalising;vcg
Instruments / Voices;vocals;vcs
Instruments / Voices;vocoded vocal;vcdvc
Instruments / Voices;vocoder;vcdr
Instruments / Voices;vocoders;vcdrs
Instruments / Voices;voice lead;vcls
Instruments / Voices;voice-leading motion;Vcldmot
Instruments / Voices;woodblock;wdbl
Instruments / Voices;woodblocks;wdbls
Instruments / Voices;xylophone;xyl
Instruments / Voices;xylophones;xyls
Performance / Technique;ad lib;adli
Performance / Technique;ad libbed;adlid
Performance / Technique;ad libbing;adlig
Performance / Technique;ad libs;adlis
Performance / Technique;arpeggiated;arpd
Performance / Technique;arpeggiated strings;arpst
Performance / Technique;arpeggio;arpg
Performance / Technique;arpeggios;arpgs
Performance / Technique;belt;blt
Performance / Technique;belted;bltd
Performance / Technique;belter;bltr
Performance / Technique;belting;bltg
Performance / Technique;belting technique;bltech
Performance / Technique;bend;bnd
Performance / Technique;bending;bndg
Performance / Technique;bends;bnds
Performance / Technique;bent;bnt
Performance / Technique;blended register;blndreg
Performance / Technique;bouncing bow;bobo
Performance / Technique;bow;bow
Performance / Technique;bowed;bowd
Performance / Technique;bowing;bowg
Performance / Technique;chop;chp
Performance / Technique;chopped;chpd
Performance / Technique;chopping;chpg
Performance / Technique;chops;chps
Performance / Technique;emote;emt
Performance / Technique;evoke;evk
Performance / Technique;express;exprs
Performance / Technique;finger;fngr
Performance / Technique;fingerpicked;fngp
Performance / Technique;fingerpicking;fngpg
Performance / Technique;fry register;fryre
Performance / Technique;fry tone;fryto
Performance / Technique;glide;gld
Performance / Technique;glides;glds
Performance / Technique;gliding;gldg
Performance / Technique;glissando;glssn
Performance / Technique;glissandos;glssns
Performance / Technique;hammer-on;hmron
Performance / Technique;hammer-ons;hmrons
Performance / Technique;hand;hand
Performance / Technique;harmonising;hmnzg
Performance / Technique;hum;hum
Performance / Technique;humming;humg
Performance / Technique;improvisation;imprv
Performance / Technique;improvisational;imprvl
